Episode,Epsilon,Q Value Loss,E[R]
0,1,0,0.255145
1,1,0,0.700785
2,1,0,1.02069
3,1,0,1.27904
4,1,0,1.5627
5,1,0,1.59585
6,1,0,1.82059
7,1,0,2.11796
8,1,0,2.23098
9,1,0,2.23077
10,1,0,2.30303
11,1,0,2.34526
12,1,0,2.46312
13,1,0,2.44718
14,1,0,2.70235
15,1,0,2.67901
16,1,0,2.7912
17,1,0,2.78803
18,1,0,2.96578
19,1,0,2.96033
20,1,0,2.84236
21,1,0,2.74324
22,1,0,2.88213
23,1,0,2.88747
24,1,0,2.93772
25,1,0,2.89034
26,1,0,2.94541
27,1,0,2.98696
28,1,0,3.14609
29,1,0,3.02969
30,1,0,3.02563
31,1,0.187782,3.04441
32,0.973361,0.0284625,3.06014
33,0.947195,0.0230285,3.2831
34,0.921733,0.0253493,3.32917
35,0.896955,0.0259202,3.43589
36,0.872843,0.0212759,3.62813
37,0.849379,0.0203417,3.67005
38,0.826546,0.025286,3.66146
39,0.804326,0.0263489,3.81111
40,0.782705,0.0254846,3.99583
41,0.761664,0.0292556,4.10025
42,0.741189,0.0243301,4.26767
43,0.721264,0.0262944,4.22404
44,0.701875,0.0247775,4.10425
45,0.683007,0.0237992,4.22415
46,0.664646,0.0271492,4.18158
47,0.646779,0.0250066,4.46044
48,0.629393,0.0262045,4.62211
49,0.612473,0.0217575,4.82774
50,0.596009,0.0238076,4.85668
51,0.579987,0.0294285,4.8487
52,0.564396,0.0253182,4.66647
53,0.549223,0.0265915,4.79209
54,0.534459,0.0256502,5.03878
55,0.520092,0.0296309,5.27956
56,0.506111,0.0256757,5.33894
57,0.492505,0.0247306,5.48182
58,0.479266,0.0223908,5.54937
59,0.466382,0.0245371,5.57448
60,0.453845,0.0226447,5.59309
61,0.441645,0.027436,5.47271
62,0.429772,0.0311749,5.73888
63,0.418219,0.0291279,5.86142
64,0.406976,0.024457,6.07323
65,0.396036,0.0312086,6.0034
66,0.38539,0.0217352,6.06749
67,0.37503,0.0240072,6.11494
68,0.364948,0.0282908,6.298
69,0.355138,0.0292634,6.27384
70,0.345591,0.0257605,6.62205
71,0.336301,0.0327503,6.80544
72,0.32726,0.0292246,6.87918
73,0.318463,0.0279948,6.94264
74,0.309902,0.0351076,6.89522
75,0.301571,0.0262725,7.06036
76,0.293464,0.0257817,7.10913
77,0.285575,0.0268753,7.1904
78,0.277898,0.032116,7.13447
79,0.270428,0.0273595,7.14894
80,0.263158,0.0276118,6.92676
81,0.256084,0.0307643,6.95635
82,0.2492,0.0259554,7.17906
83,0.242501,0.0331901,7.29082
84,0.235982,0.030153,7.35385
85,0.229638,0.0329047,7.39498
86,0.223465,0.0222816,7.42913
87,0.217458,0.029408,7.56227
88,0.211612,0.0316641,7.72296
89,0.205924,0.03235,7.8398
90,0.200388,0.0319139,7.94454
91,0.195001,0.0347741,7.9903
