Episode,Epsilon,Q Value Loss,E[R]
0,1,0,-0.84073
1,0.984925,0.012914,-1.49001
2,0.977468,0.00975249,-2.16917
3,0.970067,0.0159466,-2.67189
4,0.962723,0.00228888,-2.59594
5,0.955434,0.108841,-1.48648
6,0.9482,1.10308,-2.19231
7,0.941021,0.840896,-1.7897
8,0.933896,0.652362,-2.08348
9,0.926825,0.659492,-2.38682
10,0.919808,0.786018,-2.95639
11,0.912844,0.524361,-3.11443
12,0.905933,0.392228,-3.78442
13,0.899074,1.32574,-4.05213
14,0.892267,0.934803,-4.68424
15,0.885511,0.771804,-4.68291
16,0.878807,0.721615,-4.69397
17,0.872153,0.776454,-4.53979
18,0.86555,0.62495,-3.78269
19,0.858997,1.62032,-3.6208
20,0.852493,1.022,-3.06684
21,0.846039,0.661549,-3.90912
22,0.839633,0.551835,-3.62103
23,0.833276,0.691137,-3.5932
24,0.826967,0.592695,-3.58385
25,0.820706,0.673654,-4.14407
26,0.814493,1.48567,-4.63177
27,0.808326,1.21976,-3.49863
28,0.802206,1.18296,-2.44362
29,0.796132,1.20901,-2.32445
30,0.790105,0.889714,-2.78605
31,0.784123,1.01925,-1.95621
32,0.778186,2.67437,-2.4264
33,0.772294,1.28622,-2.74132
34,0.766447,1.02603,-1.56399
35,0.760644,1.01201,-0.894222
36,0.754885,1.01394,-0.598339
37,0.74917,0.762929,-0.203094
38,0.743497,0.862904,0.698835
39,0.737868,1.86089,-0.143209
40,0.732282,1.3614,0.259583
41,0.726737,1.31292,0.633946
42,0.721235,1.28644,0.546864
43,0.715775,1.64136,0.978354
44,0.710355,0.949578,1.96337
45,0.704977,1.00366,2.52217
46,0.69964,2.4311,3.13045
47,0.694342,2.10016,2.91372
48,0.689085,1.93447,4.21338
49,0.683868,1.98932,3.32637
50,0.678691,2.38824,4.7474
51,0.673552,2.3012,5.9371
52,0.668452,6.32901,4.56079
53,0.663391,5.15244,7.57756
54,0.658369,4.22218,11.3019
55,0.653384,4.3781,11.5594
56,0.648437,5.03533,11.8029
57,0.643528,4.7802,12.1
58,0.638656,5.05576,11.7317
59,0.63382,6.48279,12.4067
60,0.629021,5.54991,15.9235
61,0.624259,4.96105,15.5093
62,0.619533,4.93526,15.1702
63,0.614842,5.4241,13.4259
64,0.610187,5.26552,11.7228
65,0.605567,8.59276,12.3056
66,0.600982,6.27002,14.8035
67,0.596432,5.62317,17.2136
68,0.591916,5.3891,15.6564
69,0.587435,5.32595,15.762
70,0.582987,5.38006,14.9905
71,0.578573,4.8437,12.5865
72,0.574193,7.57528,10.969
73,0.569845,6.11264,13.2737
74,0.565531,6.13469,13.7932
75,0.561249,5.79702,15.4011
76,0.557,5.86388,15.7948
77,0.552783,5.9616,17.6357
78,0.548598,9.92105,17.5614
79,0.544444,5.61529,20.3923
