Episode,Epsilon,Q Value Loss,E[R]
0,1,0,-50.8691
1,1,0,-101.957
2,1,0,-150.974
3,1,0,-175.27
4,1,0,-213.647
5,1,0,-222.411
6,1,0,-263.189
7,1,0,-282.522
8,1,0,-306.299
9,1,0,-312.762
10,1,0,-334.101
11,1,0,-352.572
12,1,0,-380.351
13,1,0,-373.638
14,1,0,-416.813
15,1,0,-425.669
16,1,0,-415.591
17,1,0,-436.388
18,1,0,-452.261
19,1,0,-448.86
20,1,0,-464.686
21,1,0,-474.226
22,1,0,-474.187
23,1,0,-482.82
24,1,0,-460.142
25,1,0,-458.639
26,1,0,-464.428
27,1,0,-467.252
28,1,0,-490.507
29,1,0,-505.226
30,1,0,-513.233
31,1,0.404083,-497.313
32,0.93426,45.3247,-495.171
33,0.872406,36.8768,-482.119
34,0.814647,35.4348,-448.023
35,0.760712,34.0742,-439.016
36,0.710348,32.119,-430.258
37,0.663319,31.4906,-434.017
38,0.619402,31.1603,-431.521
39,0.578394,31.3272,-425.029
40,0.540101,31.2362,-431.659
41,0.504342,31.9528,-418.788
42,0.470952,31.2645,-404.361
43,0.439772,31.2002,-414.774
44,0.410656,31.1562,-389.9
45,0.383468,31.3891,-378.402
46,0.35808,31.2568,-349.234
47,0.334372,31.1253,-322.26
48,0.312235,31.2708,-311.945
49,0.291563,31.4792,-285.94
50,0.272259,31.5308,-283.779
51,0.254234,32.2642,-278.527
52,0.237402,31.4433,-281.746
53,0.221685,31.7756,-275.45
54,0.207008,31.4966,-258.983
55,0.193302,31.3295,-251.751
56,0.180504,31.2074,-255.224
57,0.168554,31.3172,-260.995
58,0.157394,31.1893,-254.96
59,0.146974,31.277,-238.802
60,0.137243,31.3938,-230.763
61,0.128157,31.9656,-231.476
62,0.119672,31.3847,-221.034
63,0.111749,31.4537,-217.034
64,0.10435,31.6816,-205.897
65,0.0974418,31.4921,-206.003
66,0.0909905,31.6823,-200.804
67,0.0849663,31.6821,-201.595
68,0.079341,31.8251,-197.255
69,0.0740881,31.9516,-203.562
70,0.069183,32.1038,-195.455
71,0.0646026,32.6885,-188.655
72,0.0603255,32.3377,-188.982
73,0.0563316,32.4347,-191.664
74,0.0526021,32.6859,-195.792
75,0.0491195,32.5293,-184.673
76,0.0458674,32.5158,-182.324
77,0.0428307,32.7028,-175.334
78,0.039995,32.6895,-169.687
79,0.0373471,32.7858,-178.796
80,0.0348745,32.9048,-171.479
81,0.0325656,33.1864,-177.772
82,0.0304095,32.928,-191.629
