Episode,Epsilon,Q Value Loss,E[R]
0,1,0,4.36397e-05
1,1,0,0.00980081
2,1,0,0.00882247
3,1,0,0.00813989
4,1,0,0.0073259
5,1,0,0.00659331
6,1,0,0.0128018
7,1,0,0.0115731
8,1,0,0.0312054
9,1,0,0.0699013
10,1,0,0.0629112
11,1,0,0.05662
12,1,0,0.0509806
13,1,0,0.0458847
14,1,0,0.0768004
15,1,0,0.0692264
16,1,0,0.08797
17,1,0,0.0794944
18,1,0,0.131942
19,1,0,0.215051
20,1,0,0.193546
21,1,0,0.174191
22,1,0,0.156823
23,1,0,0.141141
24,1,0,0.127027
25,1,0,0.118563
26,1,0,0.125311
27,1,0,0.112796
28,1,0,0.101522
29,1,0,0.0913695
30,1,0,0.0835629
31,1,0.021223,0.0752066
32,0.994615,0.00684648,0.0715517
33,0.989209,0.569997,0.0647418
34,0.983832,0.00107238,0.0582714
35,0.978485,0.00176701,0.0959102
36,0.973167,0.00346806,0.164489
37,0.967877,0.00300038,0.176752
38,0.962617,0.00186854,0.159077
39,0.957385,0.000955448,0.172821
40,0.952181,0.00158358,0.155546
41,0.947006,0.00509167,0.213601
42,0.941859,0.00215113,0.227109
43,0.93674,0.0031845,0.204399
44,0.931648,0.00390702,0.185637
45,0.926585,0.00159211,0.220735
46,0.921548,0.00183083,0.209603
47,0.91654,0.00338748,0.188643
48,0.911558,0.00214794,0.169779
49,0.906604,0.00154831,0.153682
50,0.901676,0.00132447,0.27864
51,0.896775,0.00747092,0.252402
52,0.891901,0.00669519,0.22718
53,0.887053,0.00658413,0.243604
54,0.882232,0.00369951,0.220608
55,0.877437,0.0031553,0.198804
56,0.872668,0.00503236,0.227481
57,0.867925,0.00469622,0.204733
58,0.863208,0.00311557,0.237403
59,0.858516,0.00496223,0.214316
60,0.85385,0.00394761,0.192884
61,0.849209,0.013292,0.25908
62,0.844593,0.00997583,0.233189
63,0.840003,0.00405515,0.209911
64,0.835437,0.00399537,0.189072
65,0.830897,0.0026781,0.218246
66,0.82638,0.00505493,0.197503
67,0.821889,0.00156363,0.303545
68,0.817422,0.00461019,0.273193
69,0.812979,0.00523296,0.26352
70,0.80856,0.0121218,0.287385
71,0.804166,0.0177252,0.262046
