Episode,Epsilon,Q Value Loss,E[R]
0,1,0,0.4479
1,1,0,1.55513
2,1,0,2.90981
3,1,0,3.2816
4,1,0,3.43919
5,1,0,3.32026
6,1,0,3.9487
7,1,0,3.73456
8,1,0,4.22073
9,1,0,4.38519
10,1,0,4.39198
11,1,0,5.12465
12,1,0,5.42814
13,1,0,6.02838
14,1,0,6.16664
15,1,0,5.84006
16,1,0,6.89226
17,1,0,6.6077
18,1,0,6.80318
19,1,0,7.73469
20,1,0,7.61355
21,1,0,7.39936
22,1,0,7.12482
23,1,0,7.42645
24,1,0,7.56626
25,1,0,7.99314
26,1,0,8.05954
27,1,0,7.85989
28,1,0,7.34632
29,1,0,7.49743
30,1,0,7.1096
31,1,0.0102718,7.25403
32,0.940353,1.11529,7.18232
33,0.883822,0.649612,6.99816
34,0.830689,0.323726,6.30725
35,0.78075,0.222203,6.87948
36,0.733814,0.19131,7.34424
37,0.689699,0.185222,7.54977
38,0.648236,0.181363,8.55158
39,0.609266,0.179936,8.82099
40,0.572639,0.17932,10.7579
41,0.538213,1.06491,10.2469
42,0.505858,0.838868,11.7136
43,0.475447,0.815715,12.1506
44,0.446864,0.804211,13.3206
45,0.42,0.797395,14.6946
46,0.394751,0.799604,15.4961
47,0.37102,0.798197,16.0773
48,0.348715,0.79752,17.1581
49,0.327751,0.794945,17.444
50,0.308048,0.79154,16.9607
51,0.289529,0.523353,18.0955
52,0.272123,0.319797,18.6713
53,0.255764,0.313798,19.9843
54,0.240388,0.308184,20.6787
55,0.225937,0.301554,21.5076
56,0.212354,0.298606,22.3723
57,0.199588,0.295451,22.7958
58,0.187589,0.290261,22.5644
59,0.176312,0.285618,23.3699
60,0.165713,0.282784,23.3691
61,0.15575,0.740138,24.5758
62,0.146387,0.643104,25.0223
63,0.137587,0.639968,25.6987
64,0.129316,0.639036,26.1066
65,0.121541,0.632624,26.487
66,0.114235,0.632726,27.4169
67,0.107367,0.632399,27.7634
68,0.100913,0.63206,27.6731
69,0.0948461,0.633347,28.0382
70,0.0891442,0.633822,28.248
71,0.0837851,0.460826,28.9681
72,0.0787482,0.355099,29.2539
