Episode,Epsilon,Q Value Loss,E[R]
0,1,0,0.000218135
1,0.989169,5.09235e-05,0.0341453
2,0.983793,4.63759e-05,0.0448062
3,0.978446,9.53697e-07,0.0412511
4,0.973128,1.04027e-05,0.0488593
5,0.967839,1.8915e-05,0.0552625
6,0.962578,1.03337e-06,0.0587419
7,0.957346,7.21084e-07,0.0962063
8,0.952143,2.6743e-05,0.0959032
9,0.946968,0.000423261,0.111315
10,0.941821,0.000559907,0.161326
11,0.936702,0.000135568,0.146662
12,0.931611,0.000188545,0.145246
13,0.926547,0.000107009,0.156739
14,0.921512,0.000528747,0.143644
15,0.916503,0.000234937,0.137268
16,0.911522,0.000161098,0.137009
17,0.906567,0.0019607,0.123325
18,0.90164,0.00303993,0.112416
19,0.896739,0.0027899,0.116695
20,0.891865,0.00383224,0.121494
21,0.887018,0.00294487,0.136677
22,0.882197,0.00384787,0.171141
23,0.877402,0.00173681,0.183875
24,0.872633,0.00261077,0.199419
25,0.86789,0.00308636,0.201636
26,0.863173,0.00362575,0.184847
27,0.858482,0.0164819,0.172515
28,0.853816,0.0242496,0.17357
29,0.849175,0.013086,0.178518
30,0.84456,0.0232687,0.199328
31,0.839969,0.0228894,0.23611
32,0.835404,0.0326583,0.280632
33,0.830863,0.0206783,0.256858
34,0.826347,0.0417738,0.235633
35,0.821856,0.011722,0.229398
36,0.817389,0.03307,0.259259
37,0.812946,0.0369622,0.247578
38,0.808528,0.0631768,0.259292
39,0.804133,0.0625767,0.272576
40,0.799763,0.0594094,0.255721
41,0.795416,0.0534612,0.246756
42,0.791093,0.0391743,0.250319
43,0.786793,0.0889583,0.285738
44,0.782517,0.0509516,0.271157
45,0.778264,0.473453,0.321738
46,0.774034,0.0943598,0.302482
47,0.769827,0.0592264,0.286768
48,0.765642,0.0771254,0.279891
49,0.761481,0.0594369,0.277566
50,0.757342,0.0390228,0.258934
51,0.753226,0.0446035,0.246455
52,0.749132,0.0560191,0.238354
53,0.74506,0.0684179,0.227903
54,0.741011,0.0601431,0.227839
55,0.736983,0.0511604,0.230937
56,0.732978,0.0261963,0.212657
57,0.728994,0.0742269,0.194897
58,0.725032,0.0454201,0.231555
59,0.721091,0.0463803,0.210513
60,0.717172,0.0280321,0.196199
61,0.713274,0.0462589,0.20945
62,0.709397,0.0491021,0.217179
63,0.705541,0.0447931,0.241248
64,0.701707,0.0227531,0.260403
65,0.697893,0.0451643,0.260278
66,0.694099,0.03392,0.245014
67,0.690327,0.0214537,0.227506
68,0.686575,0.0169372,0.214357
69,0.682843,0.0298371,0.202842
70,0.679132,0.03746,0.18441
71,0.675441,0.0168137,0.16627
72,0.671769,0.0396237,0.195299
73,0.668118,0.0161397,0.210779
74,0.664487,0.015857,0.193514
75,0.660875,0.020705,0.174911
76,0.657283,0.0205396,0.159988
77,0.653711,0.0239897,0.169068
78,0.650158,0.0283978,0.154965
79,0.646624,0.024713,0.16319
80,0.64311,0.0331941,0.182392
81,0.639614,0.0240345,0.187775
82,0.636138,0.0107366,0.176211
83,0.63268,0.015987,0.218707
84,0.629242,0.00935097,0.20263
85,0.625822,0.01184,0.21554
86,0.62242,0.0135799,0.220334
87,0.619037,0.0219705,0.232711
88,0.615673,0.0117599,0.23593
89,0.612326,0.0137724,0.269319
90,0.608998,0.0100372,0.242742
91,0.605688,0.0180029,0.224499
92,0.602396,0.00814297,0.21528
93,0.599122,0.00384337,0.211375
94,0.595866,0.00483775,0.191906
95,0.592627,0.00391789,0.17299
96,0.589406,0.00770024,0.165349
97,0.586203,0.00654966,0.148832
98,0.583016,0.00919607,0.151813
99,0.579848,0.003817,0.156647
100,0.576696,0.113388,0.141275
101,0.573562,0.00356648,0.140885
102,0.570444,0.0027597,0.16896
103,0.567344,0.0023631,0.187589
104,0.56426,0.00277744,0.170939
105,0.561193,0.00347576,0.163793
106,0.558143,0.00517343,0.150981
107,0.555109,0.00274621,0.136284
108,0.552092,0.0043409,0.132214
109,0.549092,0.00224179,0.121922
110,0.546107,0.00282808,0.126046
111,0.543139,0.00213574,0.196608
112,0.540187,0.0025674,0.185867
113,0.537251,0.00177415,0.183369
114,0.534331,0.00282724,0.174467
115,0.531427,0.00182731,0.187727
116,0.528538,0.0020318,0.183678
117,0.525666,0.00203337,0.262342
118,0.522808,0.00517917,0.241291
119,0.519967,0.00301716,0.25574
120,0.517141,0.00201408,0.242355
121,0.51433,0.00238376,0.245473
122,0.511535,0.00127741,0.249273
123,0.508754,0.00237421,0.29001
124,0.505989,0.00168965,0.292607
125,0.503239,0.000912216,0.268018
126,0.500504,0.00159225,0.255536
127,0.497784,0.00133763,0.26589
128,0.495078,0.0016022,0.258693
129,0.492387,0.00179394,0.302737
130,0.489711,0.0013732,0.344086
131,0.487049,0.00425898,0.37042
132,0.484402,0.00515275,0.365715
133,0.481769,0.00197421,0.399771
134,0.479151,0.0030479,0.433103
135,0.476546,0.00404463,0.431496
136,0.473956,0.0023634,0.423896
137,0.47138,0.00430507,0.466086
138,0.468818,0.00529103,0.490207
139,0.46627,0.00734023,0.554121
140,0.463736,0.00400849,0.537056
141,0.461215,0.00768925,0.509816
142,0.458709,0.00377012,0.512849
143,0.456216,0.00373215,0.5625
144,0.453736,0.00789145,0.536285
145,0.45127,0.00264168,0.521549
146,0.448817,0.0164045,0.502345
147,0.446378,0.00831604,0.505856
148,0.443951,0.00697461,0.533492
149,0.441539,0.00451187,0.620651
150,0.439139,0.0120031,0.594716
151,0.436752,0.00863352,0.564254
152,0.434378,0.00799552,0.597365
153,0.432017,0.0134495,0.564836
154,0.429669,0.0235759,0.536021
155,0.427334,0.192564,0.518203
156,0.425011,0.0139435,0.545055
157,0.422701,0.00786624,0.564997
158,0.420404,0.00532786,0.537182
159,0.418119,0.0106746,0.526191
160,0.415846,0.00541682,0.537421
161,0.413586,0.00902786,0.523499
162,0.411338,0.00747403,0.594947
163,0.409102,0.0115746,0.557638
164,0.406879,0.0136756,0.508366
165,0.404667,0.00897853,0.497365
166,0.402468,0.0128689,0.481354
167,0.40028,0.0047076,0.494094
168,0.398105,0.00965007,0.512714
169,0.395941,0.00816706,0.560486
170,0.393789,0.00762114,0.5437
171,0.391649,0.00935343,0.514857
172,0.38952,0.014691,0.592096
